Beer Name,Brewery,Style,ABV,Min IBU,Max IBU,Bitter,Sweet,Sour,Salty,Fruits,Spices,Malty,Review,Description
Little Red Cap,Grimm Brothers Brewhouse,Altbier,5.2,25,50,47,52,28,4,24,6,100,4,"Notes:Altbier is German for “Old Beer”, this refers to the “old” style of brewing using an ale yeast (As opposed to a lager yeast fermentation which is a relatively new process). This beer originated in the Westphalia region of Germany in a town named Dusseldorf. Due to the cool climate of Dusseldorf, Altbiers employee an ale yeast that has evolved over time to ferment at somewhat cooler temperature than that of other ale yeasts. This cool fermentation produces subtle yeast derived esters and leaves a clean malty beer. In addition to this cool clean fermentation, altbiers are then lagered at cold temperatures to help smooth and refine the beer. The result of this is a very clean and hoppy red ale.Coming in at 6.2% ABV and IBUs Little Red Cap is an easy drinking hop forward beer worthy of its heritage. We use a bit of Cascade hop to give it an “American Twist” while maintaining its German heritage. This beer won a Gold Medal at the 2011 and 2016 GABF and a Bronze at the 2012 GABF. It also won a Silver Award at the 2016 World beer cup."
Festivale,Beau's All Natural Brewing Company,Altbier,4.7,25,50,72,77,20,0,20,10,141,3.68,"Notes:Festivale is an amber ale, with balanced high-intensity maltiness and hop presence. Caramunich malts give Festivale its colour and a rich caramel sweetness. Festivale bucks the trend of pale summer beers, offering up amber hues and tastiness for a unique result that is both quaffable and refreshing.40 IBU\t"
Moby D,Buzzards Bay Brewing,Altbier,5,25,50,65,57,33,0,33,3,98,3.91,Notes:
Über Alt,Rush River Brewing Company,Altbier,8.5,25,50,47,135,49,2,65,15,182,4.17,"Notes:Our Alt is a much stronger version of the traditional Dusseldorf Altbiers. An ancient style from the Rhineland, Altbiers are ales that were virtually wiped out by German lagers in the 1800’s. We use plenty of European hops and German pilsner malts to brew a remarkably clean beer. We then rest it in the cooler for two months to achieve the mellow finish that is the Überalt’s trademark.\t"
Füchschen Alt,Brauerei Im Füchschen,Altbier,4.5,25,50,52,57,10,0,14,15,100,4.45,Notes:
Sticke It To The Man,O'Fallon Brewery,Altbier,7.5,25,50,51,87,22,0,39,6,96,3.29,Notes:
Evan Altmighty,Blue Mountain Brewery,Altbier,6.6,25,50,40,62,34,0,47,5,80,4.1,"Notes:34 IBUPilsner, CaraPils and Vienna MaltsHallertau Mittelfruh HopsAle YeastDeep Well Water\t"
ALTerior Motive,COAST Brewing Company,Altbier,6.3,25,50,56,61,46,0,40,14,110,4.47,"Notes:Our altbier is crafted after the authentic, or sticke, style that originated in Germany. It is extremely malty, aggressively hoppy and cold conditioned for a clean, smooth finish.\t"
The Detroit Dwarf,Detroit Beer Co.,Altbier,6.8,25,50,42,68,25,0,29,12,70,3.83,"Notes:""This beer has won a bronze, silver and gold as an Alt at the Great american beer festival, and now a silver at the world beer cup as an Alt.""\t"
Olde School Barleywine,Dogfish Head Brewery,Barleywine,15,60,100,56,170,30,0,107,13,62,3.7,"Notes:Bold, yet smooth! Fermented with dates and figs, this bone-crushing barleywine has a unique flavor.85 IBUABV varies from 13-16%.\t"
Brewer's Reserve Bourbon Barrel Barleywine,Central Waters Brewing Company,Barleywine,14.3,60,100,40,142,25,0,63,27,133,4.09,Notes:Aged for 1 year in used bourbon barrels.\t
Old Ruffian,Great Divide Brewing Company,Barleywine,10.2,60,100,107,97,27,1,57,14,119,4.07,"Notes:Old Ruffian is a hefty, hop-forward barley wine. Seemingly mellow at the start with subtle fruit aromas and complex caramel sweetness, it quickly becomes aggressive with its bold hop flavors and huge hop bitterness. Ultimately, the big body, succulent sweetness and massive hop character come together to work wonders on your palate.\t"
Old Horizontal,Victory Brewing Company,Barleywine,11,60,100,78,83,36,1,52,12,117,3.96,"Notes:Massive amounts of barley malts, combined with fresh harvest American hops make it aromatic and spicy on the nose. Floral, fruity aromas slide into honeyed malt depth with lingering sensations of candied and citrus fruit. Late warming alcohol brings all of these flavors into wonderful harmony to finish.Malt: Imported 2 row German maltsHops: Whole flower American hopsFood Pairings: Meat pies and English cheese\t"
Behemoth,Three Floyds Brewing Co. & Brewpub,Barleywine,10.5,60,100,90,125,72,0,101,24,105,4.06,"Notes:A huge, sweet barleywine with complex caramel malt notes, balanced by generous hopping and a high alcohol content. This fruity and malty beer is best enjoyed while keeping warm in the brutal winter months.80 IBU2005 Bottle release - Pink Wax 2007 Bottle release - Yellow Wax, hands not skull on flat finish label (Brewed in Nov 06) 2008 Bottle release - Purple Wax 2009 Bottle release - Blue Wax2010 Bottle release - Green Wax2011 Bottle release - White Wax2011 Bottle release - Yellow Wax, glossy label, skull on label (Ohio only)2012 Bottle release - Red Wax2013 Bottle release - Orange Wax2014 Bottle release - Blue Wax2015 Bottle release - Purple Wax2016 Bottle release - Black Metallic Wax2017 Bottle release - Silver Wax\t"
Olde GnarlyWine,Lagunitas Brewing Company,Barleywine,10.9,60,100,47,74,28,0,43,17,89,4.02,"Notes:2011: 10.6% ABV, 69 IBU\t"
Old Numbskull,AleSmith Brewing Company,Barleywine,11,60,100,52,117,29,0,54,13,122,4.1,Notes:
Flying Mouflan,Tröegs Brewing Company,Barleywine,9.3,60,100,66,143,38,1,78,11,130,4.08,Notes:This strong alluring ale is two beers in one. Cracking open a fresh bottle unleashes hops and heat with more than 100 IBUs emanating from three hop varieties and sweet burn of 9.3% ABV. Cellaring the Flying Mouflan in a cool dark place at 50 degrees for a minimum of four months will mellow out the hops and wash away the heat. If you can resist temptation you will be rewarded with two memorable beers in a single bottle.\t
XS Old Crustacean,Rogue Ales,Barleywine,11.5,60,100,88,80,41,0,65,14,83,3.74,"Notes:Formerly ""Old Crustacean""8 Ingredients:Hugh Baird Carastan and Rogue Micro Barley Farm DareTM & RiskTM Malts; Chinook and Rogue Micro Hopyard Revolution & Freedom Hops, Pacman Yeast & Free Range Coastal Water.25º PLATO110 IBU83 AA57º Lovibond\t"
Doggie Claws,Hair of the Dog Brewing Company / Brewery and Tasting Room,Barleywine,11.5,60,100,66,102,36,1,53,22,98,4.02,"Notes:""a Barley Wine made in the West Coast style. Big malt and hops make this copper colored ale one of our most popular products. Produced in September and October and released in November, this Beer will improve for years to come. Alcohol: 11.5% by volume. IBU's 70""\t"
Helldorado,Firestone Walker Brewing Co.,Barleywine,12.8,60,100,25,101,23,5,45,21,134,4.5,"Notes:Part of the adventure of aging beer in retired spirits barrels is the synergistic interaction of different malt flavors with the oak and spirit flavors from the barrel. Darker beers like stouts and darker barley wines have typically been the favored candidates for barrel-aging, due to their deeper caramel and roasted flavors. Helldorado breaks that mold with a deep golden color from being brewed solely with English and American pale malts. The bready, honeyed flavors of pale malts pull out rich wildflower honey, vanilla and coconut notes from the oak, creating an overall flavor evocative of bourbon-glazed graham crackers that stands as singularly unique in our Vintage lineup.\t"
Cockeyed Cooper,Uinta Brewing Company,Barleywine,11.1,60,100,38,52,20,0,32,22,103,3.81,Notes:Aged in bourbon barrels.65 IBU\t
Solstice D'hiver,Brasserie Dieu Du Ciel,Barleywine,10.2,60,100,70,125,33,0,54,22,119,3.82,"Notes:This noble winter beer is brown in colour with flaming red highlights. It has a complex aroma of fruits, alcohol and hops. Its taste is delicately sweet and liquor-like with a hint of burnt caramel. It is a very bitter beer with aromas and flavours reminiscent of red fruit. The aftertaste is accentuated by the wonderful flavour of hops.\t"
Anniversary Barley Wine Ale,Uinta Brewing Company,Barleywine,10.4,60,100,64,97,27,1,46,2,110,3.77,"Notes:Rich and complex, this all malt barley wine exhibits hints of dried fruits, toffee and caramel balanced by an abundance of American hops.72 IBU\t"
Barleywine Style Ale,Green Flash Brewing Co.,Barleywine,10.9,60,100,70,74,39,1,45,17,99,3.73,Notes:
Lower De Boom Barleywine,21st Amendment Brewery,Barleywine,11.5,60,100,67,110,73,2,120,6,100,3.5,Notes:
Killer Penguin Barleywine,Boulder Beer / Wilderness Pub,Barleywine,10,60,100,29,70,28,0,41,4,67,3.57,"Notes:This limited, small-batch release is dark garnet red in color with a candied-fruit like aroma and flavor. At 10% ABV, Killer Penguin is a big barleywine that comes across very smooth and extremely balanced -- the perfect beer to share among friends.\t"
Great,Alpine Beer Company,Barleywine,14,60,100,14,81,14,0,35,10,76,4.16,"Notes:The base of this beer was available at a couple of festivals as a barleywine named ""Good"". The remainder of the batch spent several months aging in fresh Jack Daniels barrels and became ""Great"".\t"
Griffin's BowBoston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams),Barleywine,11.5,60,100,60,146,78,0,117,25,104,3.47,"Notes:From the aroma and notes of sweet honeysuckle, pineapple, and grapefruit, to richer hints of burnt sugar, and toffee, this intriguing brew is full of complex flavors. The distinct character of toasted oak adds depth and contrasts the light fruit sweetness. This unique take on a barley wine ale surprises with its smoothness and balance of fruit, hop citrus, and warmth.Hops: Nelson Sauvin, ZeusMalts: Two-Row Harrington, Metcalfe, Copeland Pale, Paul’s CaramaltAged on toasted oak\t"
Sisyphus,Real Ale Brewing Company,Barleywine,11.5,60,100,80,109,67,0,83,5,87,3.83,Notes:
Gratitude,East End Brewing Company,Barleywine,11.5,60,100,66,124,43,1,60,10,108,4.17,"Notes:A limited edition Barleywine Style Ale, brewed in November in the American tradition and hand packaged to specially commemorate the anniversary of the brewery each year.Gratitude Wax Colors:2005-Red Wax2006-Orange Wax2007-Yellow Wax2008-Green Wax2009-Blue Wax2010-Indigo Wax2011-no wax, blank cap (Flatitude)2012-no wax, ""12"" on cap (Flatitude)2013-Violet Wax2014 - red wax, label made to look like paper\t"
Barleywine Ale,The Duck-Rabbit Craft Brewery,Barleywine,11,60,100,86,86,36,1,61,16,95,3.72,"Notes:The Duck-Rabbit Barleywine is the hoppiest of all the Duck-Rabbit brews. This is a Farmville-style Barleywine, crafted the way brewers in Farmville have always done. Loads of Amarillo hops give a piney citrusy bitterness that's supported beautifully by a toffee malt backbone.\t"
The Vermonster,Rock Art Brewery,Barleywine,10,60,100,86,50,28,0,34,9,83,3.82,Notes:We brewed The Vermonster with 110 pounds of malt per barrel and jacked up the pour into a wide mouth thin glass goblet.\t
Smuttynose Barleywine Style Ale (Big Beer Series),Smuttynose Brewing Company,Barleywine,11.6,60,100,89,89,46,0,54,17,97,3.85,"Notes:First brewed in England, these potent, malty monsters were frequently aged before being put into small bottles and sold as strong beers or even medicinal tonics. The American version has been blown up with more alcohol, larger bottles and more hops.Smuttynose Barleywine straddles these two branches of the barleywine tree. When you taste it, you’ll notice deep, rich caramel malt flavors, balanced with hop bitterness. Fruity hop flavors act as a garnish for its amped-up but classic flavor. For a more refined experience, tuck a few bottles away for a year or two. The alcohol will mellow and the hop aromas will fade into the background, leaving the luscious malt to shine on its own.65 IBU2007 - 11.4%2009 - 11.1%\t"
John Barleycorn Barleywine Ale,Mad River Brewing Company,Barleywine,11.4,60,100,57,98,48,1,59,14,89,3.67,Notes:Same recipe each year. ABV varies slightly 9.5-11.0%\t
Barrel Aged Behemoth,Three Floyds Brewing Co. & Brewpub,Barleywine,12.5,60,100,38,86,36,0,61,35,92,4.29,Notes:American barleywine aged in Woodford Reserve bourbon barrels.\t
Old Ruffian - Barrel-Aged,Great Divide Brewing Company,Barleywine,12.7,60,100,43,134,34,0,57,32,132,3.98,Notes:
Old Numbskull - Bourbon Barrel-Aged,AleSmith Brewing Company,Barleywine,11,60,100,26,113,20,0,36,25,132,4.2,"Notes:A West Coast style barleywine. A huge malt profile and a very aggressive dose of premium domestic hops give Old Numbskull a tantalizing complexity, from the aroma to the aftertaste. A year spent in bourbon barrels adds amazing depth and complexity.\t"
Devil's Milk,DuClaw Brewing Company,Barleywine,10,60,100,78,125,80,2,122,9,103,3.79,"Notes:Our award winning barleywine will seduce you with its assertive hop bill (that changes each year to make each vintage unique), citrus flavors, and warming 10% ABV. Devil’s Milk is best served in a snifter to accommodate its ABV and allow complex flavors to emerge as it warms in your hands.\t"
Big Worse,Mikkeller ApS,Barleywine,12,60,100,67,137,71,0,110,12,114,3.6,"Notes:Brewed at De Proefbrouwerij.Ingredients: Water, malt (pils and caramunich), candy sugar, hops (nugget, cascade and centennial) and ale yeast.\t"
Chicken Killer Barley Wine,Santa Fe Brewing Company,Barleywine,10,60,100,61,85,38,0,47,4,104,3.54,"Notes:Chicken Killer Barley Wine is the revolutionary beer that will someday define America's unique Barley Wine style. It is brewed with twice the ingredients of the Santa Fe Brewing Company's other beers, and only half the usual amount of liquid is extracted from these ingredients. This makes one substantial beer. At over ten percent alcohol, Chicken Killer is actually as substantial as wine, but this is not to say that it is difficult to drink. On the contrary; be careful with this one. The flavors of the beer are at first as overwhelming as the intense Santa Fe sun. But in the same way our sun gives us the unrivaled brilliant colors of Santa Fe, the potency of Chicken Killer gives us the remarkable spectrum of flavors that can be found in no other beer, in no other city. If you did not have the opportunity to try last year's vintage, come try this year's!\t"
Olde Bluehair Barley Wine,Big Sky Brewing Company,Barleywine,12,60,100,53,71,22,1,32,23,114,3.92,Notes:75 IBU\t
Old Blarney Barleywine,Moylan's Brewery,Barleywine,10,60,100,61,107,39,0,64,6,119,3.82,Notes:
Druid Fluid,"Middle Ages Brewing Co., Ltd.",Barleywine,9.5,60,100,90,116,56,3,88,4,102,3.83,Notes:
Holidale,Berkshire Brewing Company Inc.,Barleywine,9.5,60,100,79,103,42,0,53,27,107,3.89,Notes:
Old Howling Bastard,Blue Point Brewing Company,Barleywine,10,60,100,45,100,34,0,44,11,115,3.72,"Notes:Our special barley wine is made with English 2-row barley and Vienna malt. Its robust, malty, caramel flavor is balanced by lots and lots of hops, giving it a great depth of character.\t"
Old Backus Barleywine,Free State Brewing Co.,Barleywine,10.5,60,100,56,127,39,1,49,4,108,4.38,"Notes:Bronze Medal Winner, 1997 World Beer Championships - Barleywines.Old Backus contains just over 2,000 pounds of malt and 55 pounds of hops. The original gravity is 25.6 P/1092 which contributes to an alcohol content of 10.5% by volume. This is a tremendously complex beer that should be savoured slowly and in moderation. It will continue to change with age as it is served unfiltered.This barleywine is named after Richard Backus, an old friend to the Brewery.\t"
Insanity,Weyerbacher Brewing Co.,Barleywine,13.3,40,60,19,103,27,0,68,27,88,3.98,"Notes:Insanity, 13.3% ABV, is made by aging our Blithering Idiot Barleywine Ale in whiskey barrels. The barrel aging imparts an additional level of complexity to an already intense malt profile by adding a combination of vanilla, oak and whiskey notes.\t"
Blithering Idiot,Weyerbacher Brewing Co.,Barleywine,11.1,40,60,29,138,26,0,62,15,97,3.61,Notes:
Mother Of All Storms,Pelican Pub & Brewery,Barleywine,14,40,60,37,156,34,1,77,27,168,4.28,"Notes:First Release - November 2008 'The Perfect Storm'2007 Stormwatcher's Winterfest Barleywine, aged in 1998 Evan Williams Bourbon Barrels.Second Release - October 2009 'The Perfect Storm'2008 Stormwatcher's Winterfest Barleywine, aged in 1998 Evan Williams Bourbon Barrels.***NOTE - Third Release - November 2010 The name was changed to 'Mother of All Storms' for trademark reasons.***Fourth Release - November 201131.7 degrees PlatoAlcohol: 13.5% by volumeBitterness: 40 IBU\t"
Old Foghorn,Anchor Brewing Company,Barleywine,10,40,60,56,116,36,0,82,15,110,3.85,"Notes:Old Foghorn® is brewed based on historic English barleywine methods. It is highly hopped, fermented with a true top-fermenting ale yeast, carbonated by a natural process called ""bunging"" to produce champagne-like bubbles, and dry-hopped with additional Cascade hops while it ages in our cellars. Made only from “first wort,” the rich first runnings of an all-malt mash, three mashes are required to produce just one barleywine brew.ABV varies slightly over the years.\t"
Double Double Barrel Ale,Firestone Walker Brewing Co.,Barleywine,12,40,60,16,67,13,0,35,32,101,4.12,Notes:
Mirror Mirror,Deschutes Brewery,Barleywine,11,40,60,32,119,28,0,77,18,104,4.1,"Notes:Bottled/kegged vintages:2005 - Released February 20062009 - Released April 20092014 - Released April 2014The Reserve Series romance all began with our first release of this limited-edition brew. Mirror Mirror, born of a double batch of Mirror Pond Pale Ale, is an inspired barley wine ale layered with intriguing nuances. Explore this latest incarnation and enjoy its delicious complexity in every sip.30 IBU\t"
Arctic Devil Barley Wine,Midnight Sun Brewing Co.,Barleywine,13.2,40,60,28,123,23,0,49,24,141,4.19,"Notes:Arctic Devil Barley Wine, aptly named after the ferocious wolverine of the north, is an English-style (meaning malt-inclined) barley wine. Though the recipe and process for Arctic Devil have evolved over the years, it is brewed once a year then aged in oak barrels for several months before the entire batch is blended, bottled and released.In its youth, Arctic Devil gnarls and snarls its way across the palate. Containing this beast of a beer for long periods in oak barrels--some having previously aged port, wine or whiskey--tames the unleashed malt and fierce hop flavors, melding and mellowing this powerful liquid into an incredible elixir worthy of a brewer's table.Each annual batch of Arctic Devil Barley Wine represents the brewers' resolve to create an intriguing and sought-after barley wine by precisely brewing to well-designed specifications, carefully selecting the type and combination of barrels to use for aging, and meticulously checking the beer as it ages. Distinct nuance and complexity are contributed by the wood's previous tenants, resulting in unique flavor profiles in each batch that continue to change over time. We invite you to savor Arctic Devil Barley Wine upon its release then cellar some for future enjoyment.20 IBU\t"
Horn Dog,Flying Dog Brewery,Barleywine,10.2,40,60,22,100,25,0,63,9,65,3.71,Notes:
Bourbon Barrel-Aged Barley Wine,Kuhnhenn Brewing Company,Barleywine,14.5,40,60,24,99,14,1,44,25,123,4.15,Notes:
J.W. Lees Harvest Ale (Lagavulin Whisky Cask)J.W. Lees & Co (Brewers) Ltd,J.W. Lees & Co (Brewers) Ltd,Barleywine,11.5,40,60,11,126,22,1,64,54,74,3.74,Notes:
Bligh's Barleywine Ale,Dry Dock Brewing Co.,Barleywine,10,40,60,13,123,31,0,46,18,96,4.45,"Notes:Malty and complex, this big beer has a strong caramel backbone supporting oak and whiskey flavors with hints of dark fruits. The nose wafts of coconut, toffee, and a smooth hint of alcohol. The flavor and aroma meld, becoming one after just a single sip. This beer is ready to drink, but also ages with the best of them.\t"
J.W. Lees Harvest Ale (Calvados Cask)J.W. Lees & Co (Brewers) Ltd,J.W. Lees & Co (Brewers) Ltd,Barleywine,11.5,40,60,23,188,74,0,93,30,93,3.92,Notes:
J.W. Lees Harvest Ale (Port Cask)J.W. Lees & Co (Brewers) Ltd,J.W. Lees & Co (Brewers) Ltd,Barleywine,11.5,40,60,23,148,36,0,89,14,76,4.04,Notes:This fully fermented ale can be enjoyed now or laid down like a fine wine for enjoyment to come.\t
Ridge Runner,Rock Art Brewery,Barleywine,7.2,40,60,27,80,22,2,45,5,114,3.59,"Notes:""Robust, Dark and Smooth, hold on to your hat cause you’ll lose your feet on this one!"" Brewed with pale, dark crystal, Munich, flaked barley, black and chocolate malts. Hops include Cascade, Crystal, Challenger and Perle.\t"
J.W. Lees Harvest Ale (Sherry Cask)J.W. Lees & Co (Brewers) Ltd,J.W. Lees & Co (Brewers) Ltd,Barleywine,11.5,40,60,24,134,40,0,85,31,101,3.87,Notes:
